emp_no,title,from_date,to_date
10001,Senior Engineer,1986-06-26,9999-01-01
10002,Staff,1996-08-03,9999-01-01
10003,Senior Engineer,1995-12-03,9999-01-01
10004,Engineer,1986-12-01,1995-12-01
10004,Senior Engineer,1995-12-01,9999-01-01
10005,Senior Staff,1996-09-12,9999-01-01
10005,Staff,1989-09-12,1996-09-12
10006,Senior Engineer,1990-08-05,9999-01-01
10007,Senior Staff,1996-02-11,9999-01-01
10007,Staff,1989-02-10,1996-02-11
10008,Assistant Engineer,1998-03-11,2000-07-31
10009,Assistant Engineer,1985-02-18,1990-02-18
10009,Engineer,1990-02-18,1995-02-18
10009,Senior Engineer,1995-02-18,9999-01-01
10010,Engineer,1996-11-24,9999-01-01
10011,Staff,1990-01-22,1996-11-09
10012,Engineer,1992-12-18,2000-12-18
10012,Senior Engineer,2000-12-18,9999-01-01
10013,Senior Staff,1985-10-20,9999-01-01
10014,Engineer,1993-12-29,9999-01-01
10015,Senior Staff,1992-09-19,1993-08-22
10016,Staff,1998-02-11,9999-01-01
10017,Senior Staff,2000-08-03,9999-01-01
10017,Staff,1993-08-03,2000-08-03
10018,Engineer,1987-04-03,1995-04-03
10018,Senior Engineer,1995-04-03,9999-01-01
10019,Staff,1999-04-30,9999-01-01
10020,Engineer,1997-12-30,9999-01-01
10021,Technique Leader,1988-02-10,2002-07-15
10022,Engineer,1999-09-03,9999-01-01
10023,Engineer,1999-09-27,9999-01-01
10024,Assistant Engineer,1998-06-14,9999-01-01
10025,Technique Leader,1987-08-17,1997-10-15
10026,Engineer,1995-03-20,2001-03-19
10026,Senior Engineer,2001-03-19,9999-01-01
10027,Engineer,1995-04-02,2001-04-01
10027,Senior Engineer,2001-04-01,9999-01-01
10028,Engineer,1991-10-22,1998-04-06
10029,Engineer,1991-09-18,2000-09-17
10029,Senior Engineer,2000-09-17,9999-01-01
10030,Engineer,1994-02-17,2001-02-17
10030,Senior Engineer,2001-02-17,9999-01-01
10031,Engineer,1991-09-01,1998-09-01
10031,Senior Engineer,1998-09-01,9999-01-01
10032,Engineer,1990-06-20,1995-06-20
10032,Senior Engineer,1995-06-20,9999-01-01
10033,Technique Leader,1987-03-18,1993-03-24
10034,Staff,1995-04-12,1999-10-31
10035,Engineer,1988-09-05,1996-09-05
10035,Senior Engineer,1996-09-05,9999-01-01
10036,Senior Staff,1992-04-28,9999-01-01
10037,Engineer,1990-12-05,1995-12-05
10037,Senior Engineer,1995-12-05,9999-01-01
10038,Senior Staff,1996-09-20,9999-01-01
10038,Staff,1989-09-20,1996-09-20
10039,Senior Staff,1997-01-18,9999-01-01
10039,Staff,1988-01-19,1997-01-18
10040,Engineer,1993-02-14,1999-02-14
10040,Senior Engineer,1999-02-14,9999-01-01
10041,Senior Staff,1998-11-12,9999-01-01
10041,Staff,1989-11-12,1998-11-12
10042,Senior Staff,2000-03-21,2000-08-10
10042,Staff,1993-03-21,2000-03-21
10043,Engineer,1990-10-20,1997-10-20
10043,Senior Engineer,1997-10-20,9999-01-01
10044,Technique Leader,1994-05-21,9999-01-01
10045,Engineer,1996-11-16,9999-01-01
10046,Senior Staff,2000-06-20,9999-01-01
10046,Staff,1992-06-20,2000-06-20
10047,Engineer,1989-03-31,1998-03-31
10047,Senior Engineer,1998-03-31,9999-01-01
10048,Engineer,1985-02-24,1987-01-27
10049,Senior Staff,2000-05-04,9999-01-01
10049,Staff,1992-05-04,2000-05-04
10050,Senior Staff,1999-12-25,9999-01-01
10050,Staff,1990-12-25,1999-12-25
10051,Engineer,1992-10-15,1998-10-15
10051,Senior Engineer,1998-10-15,9999-01-01
